CUSTOMER ID,SALES REPRESENTATIVE ID,MATERIAL NUMBER,PER UNIT SALES PRICE,UNIT OF MEASURE,FORECAST QUANTITY,,TRANSACTION DATE
CUST001,SREP01,MAT001,2,EA,2,,19980310
CUST002,SREP02,MAT002,2,EA,3,,19990522
CUST003,SREP03,MAT003,5,EA,6,,20000107
CUST004,SREP04,MAT004,50,EA,4,,19991021
CUST005,SREP05,MAT006,200,EA,11,,19991104
CUST006,SREP06,MAT007,20,EA,8,,20000405
CUST007,SREP07,MAT008,3,EA,12,,20000906
CUST008,SREP08,MAT009,2,EA,2,,19980211
CUST009,SREP09,MAT010,15,EA,4,,20000417
CUST010,SREP10,MAT010,15,EA,9,,19990919
