CUSTOMER ID,CUSTOMER NAME,CUSTOMER ADDRESS
CUST001,RELIABLE TRANSPORTATION COMPANY,"1 TRANSPORT DRIVE, ATLANTA, GA 23002"
CUST002,FINANCE ONE CORPORATION,"2 FINANCE AVENUE, NEW YORK, NY, 10001"
CUST003,COOL BOOK PUBLISHERS,"3 BOOK STREET, BOSTON, MA 02110"
CUST004,HOWEVER FOREVER ENERGY INC.,"4 ENENRGY PARK, HOUSTON, TX 35004"
CUST005,EASY COMPUTING COMPANY,"5 COMPUTER WAY, DALLAS, TX 36543"
CUST006,"UNITED SUPPLIERS, INC.","6 SUPPLIERS STREET, CHICAGO, IL 61114"
CUST007,"MOBILE COMMUNICATIONS, INC.","7 ELECTRONICS DISTRICT, CHICAGO, IL 62643"
CUST008,SPORTS MOTOR COMPANY,"8 MOTOR DRIVE, DETROIT, MI 55953"
CUST009,SWAN STORES,"9 RIVERSIDE ROAD, DENVER, CO 45692"
CUST010,HOLLYWOOD STUDIO,"10 MEDIA DRIVE, LOS ANGELES, CA 78543"
