PRODUCT_ID,PRODUCT_NAME,PRODUCT_LINE_ID,PRODUCT_CATEGORY_ID,PRODUCT_SUBCATEGORY_ID,PRODUCT_CONTAINER,PROFIT_MARGIN,UNIT_PRICE,LANGU
100000000000001001,Eldon Base for stackable storage shelf- platinum,111200,111555,111115,Large Box,0.25,9.99,E
100000000000001002,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",111200,111111,111101,Jumbo Drum,0.25,18.97,E
100000000000001003,Cardinal Slant-D Ring Binder- Heavy Gauge Vinyl,111200,111777,111102,Small Box,0.39,165.98,E
100000000000001004,R380,111300,111222,111117,Small Box,0.25,30.73,E
100000000000001005,Holmes HEPA Air Purifier,111200,111111,111101,Medium Box,0.25,264.98,E
100000000000001006,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,111100,111444,111109,Small Pack,0.37,114.98,E
100000000000001007,Angle-D Binders with Locking Rings- Label Holders,111200,111777,111102,Small Box,0.38,880.98,E
100000000000001008,SAFCO Mobile Desk Side File- Wire Frame,111200,111555,111115,Small Box,0.1,23.99,E
100000000000001009,SAFCO Commercial Wire Shelving- Black,111200,111555,111115,Large Box,0.1,216.6,E
100000000000001010,Xerox 198,111200,111777,111111,Small Box,0.38,42.98,E
100000000000001011,Xerox 1980,111200,111777,111111,Small Box,0.25,89.99,E
100000000000001012,Advantus Map Pennant Flags and Round Head Tacks,111200,111777,111113,Wrap Bag,0.25,30.73,E
100000000000001013,DS/HD IBM Formatted Diskettes- 200/Pack - Staples,111300,111666,111105,Small Pack,0.25,210.55,E
100000000000001014,"Wilson Jones 1"" Hanging DublLock® Ring Binders",111200,111777,111102,Small Box,0.37,550.98,E
100000000000001015,Ultra Commercial Grade Dual Valve Door Closer,111100,111444,111109,Wrap Bag,0.25,110.98,E
100000000000001016,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",111200,111777,111107,Small Box,0.25,95.95,E
100000000000001017,Hon 4-Shelf Metal Bookcases,111100,111777,111103,Jumbo Box,0.25,3.49,E
100000000000001018,Lesro Sheffield Collection Coffee Table- End Table- Center Table- Corner Table,111100,111555,111116,Large Box,0.25,37.44,E
100000000000001019,g520,111300,111222,111117,Small Box,0.25,212.6,E
100000000000001020,LX 788,111300,111222,111117,Small Box,0.25,54.1,E
100000000000001021,Avery 52,111200,111777,111108,Small Box,0.38,260.98,E
100000000000001022,Plymouth Boxed Rubber Bands by Plymouth,111200,111777,111113,Wrap Bag,0.25,39.98,E
100000000000001023,"GBC Pre-Punched Binding Paper- Plastic- White- 8-1/2"" x 11""",111200,111777,111102,Small Box,0.37,6.45,E
100000000000001024,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes- 10/Pack",111300,111666,111105,Small Pack,0.25,208.16,E
100000000000001025,Newell 335,111200,111777,111112,Wrap Bag,0.25,9.65,E
100000000000001026,SANFORD Liquid Accent™ Tank-Style Highlighters,111200,111777,111112,Wrap Bag,0.25,8.46,E
100000000000001027,Canon PC940 Copier,111300,111777,111106,Jumbo Drum,0.38,8.04,E
100000000000001028,Tenex Personal Project File with Scoop Front Design- Black,111200,111555,111115,Small Box,0.25,155.06,E
100000000000001029,Col-Erase® Pencils with Erasers,111200,111777,111112,Wrap Bag,0.25,39.99,E
100000000000001030,"Imation 3.5"" DS/HD IBM Formatted Diskettes- 10/Pack",111300,111666,111105,Small Pack,0.25,320.64,E
100000000000001031,White Dual Perf Computer Printout Paper- 2700 Sheets- 1 Part- Heavyweight- 20 lbs.- 14 7/8 x 11,111200,111777,111111,Small Box,0.36,1.48,E
100000000000001032,Self-Adhesive Address Labels for Typewriters by Universal,111200,111777,111108,Small Box,0.38,415.88,E
100000000000001033,Accessory37,111300,111222,111117,Wrap Bag,0.25,15.7,E
100000000000001034,Fuji 5.2GB DVD-RAM,111300,111666,111105,Small Pack,0.25,167.27,E
100000000000001035,Bevis Steel Folding Chairs,111100,111555,111104,Jumbo Drum,0.25,10.94,E
100000000000001036,Avery Binder Labels,111200,111777,111102,Small Box,0.37,3.08,E
100000000000001037,Hon Every-Day Chair Series Swivel Task Chairs,111100,111555,111104,Jumbo Drum,0.25,2.98,E
100000000000001038,"IBM Multi-Purpose Copy Paper- 8 1/2 x 11""- Case",111200,111777,111111,Small Box,0.25,2.74,E
100000000000001039,Global Troy™ Executive Leather Low-Back Tilter,111100,111555,111104,Jumbo Drum,0.25,54.48,E
100000000000001040,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,111200,111777,111102,Small Box,0.35,37.74,E
100000000000001041,Computer Printout Paper with Letter-Trim Perforations,111200,111777,111111,Small Box,0.37,348.21,E
100000000000001042,Keypads & Dials 6160,111300,111222,111117,Small Box,0.25,155.99,E
100000000000001043,Avery 49,111200,111777,111108,Small Box,0.36,10.97,E
100000000000001044,Hoover Portapower™ Portable Vacuum,111200,111111,111101,Large Box,0.25,232.58,E
100000000000001045,Timeport L7089,111300,111222,111117,Small Box,0.25,12.53,E
100000000000001046,Avery 510,111200,111777,111108,Small Box,0.37,5.02,E
100000000000001047,Xerox 1881,111200,111777,111111,Small Box,0.38,417.4,E
100000000000001048,Memorex 4.7GB DVD-RAM- 3/Pack,111300,111666,111105,Small Pack,0.25,4.98,E
100000000000001049,Unpadded Memo Slips,111200,111777,111111,Wrap Bag,0.35,90.98,E
100000000000001050,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers- 5 1/4""X8 1/2""- 300/Messages",111200,111777,111111,Wrap Bag,0.36,6.7,E
100000000000001051,Eldon Expressions™ Desk Accessory- Wood Pencil Holder- Oak,111100,111444,111109,Small Box,0.25,70.71,E
100000000000001052,Bell Sonecor JB700 Caller ID,111300,111222,111117,Medium Box,0.25,67.84,E
