Order_id,Order_date,Order_Priority,Order_Quantity,Sales,Ship_Mode,Shipping_Cost,Product_id,Customer_id
1000020001,2023-1-1,Low,6,92.54,Regular Air,35,100000000000001001,10000000000000000001
1000020002,2025-12-1,High,49,932.48,Delivery Truck,68.02,100000000000001002,10000000000000000002
1000020003,2024-8-1,High,27,4439.64,Regular Air,2.99,100000000000001003,10000000000000000003
1000020004,2025-8-1,High,30,852.14,Regular Air,3.99,100000000000001004,10000000000000000004
1000020005,2024-8-1,Not Specified,19,4637.79,Regular Air,5.94,100000000000001005,10000000000000000005
1000020006,2024-11-1,Not Specified,21,2298.80,Regular Air,4.95,100000000000001006,10000000000000000006
1000020007,2022-7-1,High,12,10262.33,Regular Air,7.72,100000000000001007,10000000000000000007
1000020008,2021-12-1,High,22,486.50,Regular Air,6.22,100000000000001008,10000000000000000008
1000020009,2024-8-1,High,21,4265.20,Express Air,35,100000000000001009,10000000000000000009
1000020010,2026-11-1,Low,44,1767.07,Regular Air,8.33,100000000000001010,10000000000000000010
1000020011,2024-8-1,Medium,45,4015.23,Regular Air,6.18,100000000000001011,10000000000000000011
1000020012,2025-12-1,Medium,32,946.03,Regular Air,2,100000000000001012,10000000000000000012
1000020013,2024-9-1,Not Specified,32,6743.54,Regular Air,5.94,100000000000001013,10000000000000000013
1000020014,2023-10-1,Not Specified,31,16400.77,Regular Air,3.61,100000000000001014,10000000000000000014
1000020015,2022-6-1,Not Specified,15,1634.40,Regular Air,2.99,100000000000001015,10000000000000000015
1000020016,2024-8-1,Medium,46,4284.33,Regular Air,3.04,100000000000001016,10000000000000000016
1000020017,2022-2-1,Not Specified,16,53.32,Regular Air,1.39,100000000000001017,10000000000000000017
1000020018,2022-6-1,Critical,44,1607.69,Delivery Truck,26.22,100000000000001018,10000000000000000018
1000020019,2022-11-1,Critical,11,1822.95,Regular Air,69,100000000000001019,10000000000000000019
1000020020,2024-5-1,Low,15,768.07,Regular Air,5.26,100000000000001020,10000000000000000020
1000020021,2024-8-1,Low,18,4659.65,Regular Air,8.99,100000000000001021,10000000000000000021
1000020022,2024-11-1,Not Specified,13,468.27,Express Air,0.5,100000000000001022,10000000000000000022
1000020023,2021-3-1,Not Specified,21,129.38,Regular Air,0.7,100000000000001023,10000000000000000023
1000020024,2022-8-1,Low,33,6195.53,Regular Air,13.18,100000000000001024,10000000000000000024
1000020025,2022-4-1,Low,38,353.30,Regular Air,4.93,100000000000001025,10000000000000000025
1000020026,2023-2-1,High,30,231.66,Regular Air,0.7,100000000000001026,10000000000000000026
1000020027,2026-2-1,High,23,174.75,Regular Air,0.93,100000000000001027,10000000000000000027
1000020028,2023-11-1,High,25,3886.74,Delivery Truck,49,100000000000001028,10000000000000000028
1000020029,2024-6-1,Low,28,1079.44,Regular Air,4.51,100000000000001029,10000000000000000029
1000020030,2022-7-1,Not Specified,49,14455.62,Regular Air,1.17,100000000000001030,10000000000000000030
1000020031,2021-2-1,Not Specified,10,19.03,Regular Air,4.38,100000000000001031,10000000000000000031
1000020032,2024-10-1,Not Specified,21,8229.46,Regular Air,19.99,100000000000001032,10000000000000000032
1000020033,2021-11-1,High,39,594.42,Regular Air,0.49,100000000000001033,10000000000000000033
1000020034,2024-8-1,High,24,3976.84,Regular Air,2.5,100000000000001034,10000000000000000034
1000020035,2025-3-1,Low,27,273.74,Regular Air,1.99,100000000000001035,10000000000000000035
1000020036,2025-2-1,Critical,39,186.06,Delivery Truck,74.35,100000000000001036,10000000000000000036
1000020037,2024-1-1,High,47,147.07,Regular Air,7.01,100000000000001037,10000000000000000037
1000020038,2024-2-1,High,49,152.18,Delivery Truck,30,100000000000001038,10000000000000000038
1000020039,2021-8-1,High,18,888.34,Regular Air,5.76,100000000000001039,10000000000000000039
1000020040,2021-10-1,Not Specified,30,1056.30,Delivery Truck,26,100000000000001040,10000000000000000040
1000020041,2026-11-1,Critical,5,1641.30,Regular Air,4.71,100000000000001041,10000000000000000041
1000020042,2025-11-1,High,21,3284.82,Regular Air,9.03,100000000000001042,10000000000000000042
1000020043,2026-1-1,Medium,8,90.26,Regular Air,2.5,100000000000001043,10000000000000000043
1000020044,2023-9-1,Not Specified,5,1151.77,Regular Air,0.5,100000000000001044,10000000000000000044
1000020045,2024-2-1,Medium,9,155.00,Regular Air,49,100000000000001045,10000000000000000045
1000020046,2026-1-1,High,11,60.70,Regular Air,7.69,100000000000001046,10000000000000000046
1000020047,2023-10-1,High,50,20244.40,Regular Air,0.5,100000000000001047,10000000000000000047
1000020048,2021-2-1,High,3,20.36,Express Air,6.47,100000000000001048,10000000000000000048
1000020049,2022-7-1,High,30,2711.10,Regular Air,8.99,100000000000001049,10000000000000000049
1000020050,2022-2-1,Not Specified,7,45.20,Regular Air,2.99,100000000000001050,10000000000000000050
1000020051,2022-7-1,Critical,42,2674.83,Regular Air,1.99,100000000000001051,10000000000000000051
1000020052,2025-4-1,Low,11,741.75,Regular Air,2.97,100000000000001052,10000000000000000052
1000020053,2023-11-1,Critical,22,3367.52,Regular Air,3.04,100000000000001053,10000000000000000053
1000020054,2021-6-1,Not Specified,12,2200.81,Regular Air,6.22,100000000000001054,10000000000000000054
1000020055,2026-1-1,Not Specified,8,76.63,Regular Air,5.03,100000000000001055,10000000000000000055
1000020056,2023-4-1,High,7,1267.73,Regular Air,1.49,100000000000001056,10000000000000000056
1000020057,2026-2-1,High,3,177.18,Regular Air,4.5,100000000000001057,10000000000000000057
1000020058,2025-10-1,Low,44,7264.08,Regular Air,39.61,100000000000001058,10000000000000000058
1000020059,2021-3-1,Low,25,130.73,Regular Air,0.99,100000000000001059,10000000000000000059
1000020060,2022-7-1,High,19,2671.66,Regular Air,5.43,100000000000001060,10000000000000000060
1000020061,2021-11-1,Medium,6,590.76,Regular Air,24.49,100000000000001061,10000000000000000061
