Order ID,Order_date,Order_Priority,Forecast Order Quantity,Ship_Mode,Shipping_Cost,Product_id,Customer_id
1000050001,2023-1-1,Low,15,Regular Air,35,100000000000001001,10000000000000000001
1000050002,2025-12-1,High,15,Delivery Truck,68.02,100000000000001002,10000000000000000002
1000050003,2024-8-1,High,25,Regular Air,2.99,100000000000001003,10000000000000000003
1000050004,2025-8-1,High,28,Regular Air,3.99,100000000000001004,10000000000000000004
1000050005,2024-8-1,Not Specified,25,Regular Air,5.94,100000000000001005,10000000000000000005
1000050006,2024-11-1,Not Specified,7,Regular Air,4.95,100000000000001006,10000000000000000006
1000050007,2022-7-1,High,14,Regular Air,7.72,100000000000001007,10000000000000000007
1000050008,2021-12-1,High,16,Regular Air,6.22,100000000000001008,10000000000000000008
1000050009,2024-8-1,High,25,Express Air,35,100000000000001009,10000000000000000009
1000050010,2026-11-1,Low,32,Regular Air,8.33,100000000000001010,10000000000000000010
1000050011,2024-8-1,Medium,25,Regular Air,6.18,100000000000001011,10000000000000000011
1000050012,2025-12-1,Medium,15,Regular Air,2,100000000000001012,10000000000000000012
1000050013,2024-9-1,Not Specified,51,Regular Air,5.94,100000000000001013,10000000000000000013
1000050014,2023-10-1,Not Specified,68,Regular Air,3.61,100000000000001014,10000000000000000014
1000050015,2022-6-1,Not Specified,56,Regular Air,2.99,100000000000001015,10000000000000000015
1000050016,2024-8-1,Medium,71,Regular Air,3.04,100000000000001016,10000000000000000016
1000050017,2022-2-1,Not Specified,75,Regular Air,1.39,100000000000001017,10000000000000000017
1000050018,2022-6-1,Critical,56,Delivery Truck,26.22,100000000000001018,10000000000000000018
1000050019,2022-11-1,Critical,73,Regular Air,69,100000000000001019,10000000000000000019
1000050020,2024-5-1,Low,62,Regular Air,5.26,100000000000001020,10000000000000000020
1000050021,2024-8-1,Low,71,Regular Air,8.99,100000000000001021,10000000000000000021
1000050022,2024-11-1,Not Specified,53,Express Air,0.5,100000000000001022,10000000000000000022
1000050023,2021-3-1,Not Specified,63,Regular Air,0.7,100000000000001023,10000000000000000023
1000050024,2022-8-1,Low,74,Regular Air,13.18,100000000000001024,10000000000000000024
1000050025,2022-4-1,Low,67,Regular Air,4.93,100000000000001025,10000000000000000025
1000050026,2023-2-1,High,56,Regular Air,0.7,100000000000001026,10000000000000000026
1000050027,2026-2-1,High,52,Regular Air,0.93,100000000000001027,10000000000000000027
1000050028,2023-11-1,High,67,Delivery Truck,49,100000000000001028,10000000000000000028
1000050029,2024-6-1,Low,69,Regular Air,4.51,100000000000001029,10000000000000000029
1000050030,2022-7-1,Not Specified,60,Regular Air,1.17,100000000000001030,10000000000000000030
1000050031,2021-2-1,Not Specified,60,Regular Air,4.38,100000000000001031,10000000000000000031
1000050032,2024-10-1,Not Specified,66,Regular Air,19.99,100000000000001032,10000000000000000032
1000050033,2021-11-1,High,76,Regular Air,0.49,100000000000001033,10000000000000000033
1000050034,2024-8-1,High,71,Regular Air,2.5,100000000000001034,10000000000000000034
1000050035,2025-3-1,Low,64,Regular Air,1.99,100000000000001035,10000000000000000035
1000050036,2025-2-1,Critical,66,Delivery Truck,74.35,100000000000001036,10000000000000000036
1000050037,2024-1-1,High,52,Regular Air,7.01,100000000000001037,10000000000000000037
1000050038,2024-2-1,High,61,Delivery Truck,30,100000000000001038,10000000000000000038
1000050039,2021-8-1,High,58,Regular Air,5.76,100000000000001039,10000000000000000039
1000050040,2021-10-1,Not Specified,60,Delivery Truck,26,100000000000001040,10000000000000000040
1000050041,2026-11-1,Critical,78,Regular Air,4.71,100000000000001041,10000000000000000041
1000050042,2025-11-1,High,58,Regular Air,9.03,100000000000001042,10000000000000000042
1000050043,2026-1-1,Medium,51,Regular Air,2.5,100000000000001043,10000000000000000043
1000050044,2023-9-1,Not Specified,67,Regular Air,0.5,100000000000001044,10000000000000000044
1000050045,2024-2-1,Medium,61,Regular Air,49,100000000000001045,10000000000000000045
1000050046,2026-1-1,High,51,Regular Air,7.69,100000000000001046,10000000000000000046
1000050047,2023-10-1,High,68,Regular Air,0.5,100000000000001047,10000000000000000047
1000050048,2021-2-1,High,60,Express Air,6.47,100000000000001048,10000000000000000048
1000050049,2022-7-1,High,60,Regular Air,8.99,100000000000001049,10000000000000000049
1000050050,2022-2-1,Not Specified,75,Regular Air,2.99,100000000000001050,10000000000000000050
1000050051,2022-7-1,Critical,60,Regular Air,1.99,100000000000001051,10000000000000000051
1000050052,2025-4-1,Low,61,Regular Air,2.97,100000000000001052,10000000000000000052
1000050053,2023-11-1,Critical,67,Regular Air,3.04,100000000000001053,10000000000000000053
1000050054,2021-6-1,Not Specified,64,Regular Air,6.22,100000000000001054,10000000000000000054
1000050055,2026-1-1,Not Specified,51,Regular Air,5.03,100000000000001055,10000000000000000055
1000050056,2023-4-1,High,51,Regular Air,1.49,100000000000001056,10000000000000000056
1000050057,2026-2-1,High,52,Regular Air,4.5,100000000000001057,10000000000000000057
1000050058,2025-10-1,Low,60,Regular Air,39.61,100000000000001058,10000000000000000058
1000050059,2021-3-1,Low,63,Regular Air,0.99,100000000000001059,10000000000000000059
1000050060,2022-7-1,High,60,Regular Air,5.43,100000000000001060,10000000000000000060
1000050061,2021-11-1,Medium,76,Regular Air,24.49,100000000000001061,10000000000000000061
1000050062,2024-10-1,Low,66,Regular Air,6.65,100000000000001062,10000000000000000062
1000050063,2022-2-1,Low,75,Express Air,7.86,100000000000001063,10000000000000000063
1000050064,2023-8-1,Critical,69,Express Air,8.99,100000000000001064,10000000000000000064
1000050065,2025-11-1,Low,58,Regular Air,4.75,100000000000001065,10000000000000000065
1000050066,2024-3-1,Low,78,Regular Air,1.02,100000000000001066,10000000000000000066
1000050067,2024-8-1,Low,71,Express Air,7.46,100000000000001067,10000000000000000067
1000050068,2023-8-1,Not Specified,69,Regular Air,7.72,100000000000001068,10000000000000000068
1000050069,2023-8-1,Not Specified,66,Express Air,1.99,100000000000001069,10000000000000000069
1000050070,2025-10-1,Not Specified,60,Delivery Truck,57.38,100000000000001070,10000000000000000070
1000050071,2023-12-1,Not Specified,61,Regular Air,10.49,100000000000001071,10000000000000000071
1000050072,2023-1-1,Low,61,Regular Air,24.49,100000000000001072,10000000000000000072
1000050073,2024-11-1,Medium,53,Regular Air,1.39,100000000000001073,10000000000000000073
1000050074,2023-8-1,Medium,66,Regular Air,5.37,100000000000001074,10000000000000000074
1000050075,2023-11-1,High,67,Delivery Truck,64.73,100000000000001075,10000000000000000075
1000050076,2026-11-1,Critical,78,Express Air,5.97,100000000000001076,10000000000000000076
1000050077,2023-2-1,Critical,56,Regular Air,7.03,100000000000001077,10000000000000000077
1000050078,2023-4-1,Low,51,Regular Air,35,100000000000001078,10000000000000000078
1000050079,2026-3-1,High,69,Express Air,1.49,100000000000001079,10000000000000000079
1000050080,2026-1-1,High,51,Express Air,5.86,100000000000001080,10000000000000000080
1000050081,2026-1-1,High,51,Express Air,21.26,100000000000001081,10000000000000000081
1000050082,2024-1-1,High,52,Regular Air,8.19,100000000000001082,10000000000000000082
1000050083,2025-11-1,High,58,Regular Air,0.76,100000000000001083,10000000000000000083
1000050084,2023-11-1,Medium,67,Regular Air,3.99,100000000000001084,10000000000000000084
1000050085,2022-4-1,Not Specified,67,Express Air,35,100000000000001085,10000000000000000085
1000050086,2023-7-1,Not Specified,57,Delivery Truck,58.95,100000000000001086,10000000000000000086
1000050087,2023-12-1,Not Specified,61,Express Air,5.21,100000000000001087,10000000000000000087
1000050088,2024-2-1,Not Specified,61,Regular Air,5.81,100000000000001088,10000000000000000088
1000050089,2024-10-1,Medium,66,Regular Air,0.5,100000000000001089,10000000000000000089
1000050090,2022-10-1,High,64,Delivery Truck,53.48,100000000000001090,10000000000000000090
1000050091,2026-1-1,High,51,Regular Air,18.06,100000000000001091,10000000000000000091
1000050092,2021-3-1,High,63,Express Air,6.5,100000000000001092,10000000000000000092
1000050093,2021-1-1,Low,55,Regular Air,2.27,100000000000001093,10000000000000000093
1000050094,2024-5-1,Critical,62,Regular Air,13.18,100000000000001094,10000000000000000094
1000050095,2024-10-1,Not Specified,66,Delivery Truck,62.74,100000000000001095,10000000000000000095
1000050096,2026-3-1,Low,69,Regular Air,19.99,100000000000001096,10000000000000000096
1000050097,2025-10-1,Low,60,Regular Air,0.7,100000000000001097,10000000000000000097
1000050098,2023-3-1,Not Specified,58,Express Air,4.1,100000000000001098,10000000000000000098
1000050099,2021-12-1,Not Specified,62,Regular Air,5.77,100000000000001099,10000000000000000099
1000050100,2024-5-1,Medium,62,Regular Air,8.99,100000000000001100,10000000000000000100
1000050101,2021-11-1,High,76,Regular Air,8.64,100000000000001101,10000000000000000101
1000050102,2025-3-1,Medium,64,Regular Air,2.99,100000000000001102,10000000000000000102
1000050103,2021-6-1,Low,64,Regular Air,24.49,100000000000001103,10000000000000000103
1000050104,2023-1-1,High,61,Regular Air,0.5,100000000000001104,10000000000000000104
1000050105,2026-12-1,High,60,Delivery Truck,43.75,100000000000001105,10000000000000000105
1000050106,2022-8-1,Critical,74,Regular Air,9.73,100000000000001106,10000000000000000106
1000050107,2026-1-1,Critical,51,Regular Air,11.25,100000000000001107,10000000000000000107
1000050108,2025-2-1,Critical,66,Delivery Truck,29.21,100000000000001108,10000000000000000108
1000050109,2024-2-1,Medium,73,Regular Air,8.08,100000000000001109,10000000000000000109
1000050110,2026-1-1,Medium,51,Regular Air,11.54,100000000000001110,10000000000000000110
1000050111,2025-10-1,Low,60,Regular Air,7.11,100000000000001111,10000000000000000111
1000050112,2023-9-1,Medium,67,Regular Air,8.49,100000000000001112,10000000000000000112
1000050113,2024-11-1,Critical,53,Regular Air,13.99,100000000000001113,10000000000000000113
